alias_value,dimension_2_code,canonical_name,source,confidence
NAUTIC,CCR00002,RESTAURANT NAUTIC,vendes,high
RESTAURANT NAUTIC,CCR00002,RESTAURANT NAUTIC,compres,high
MIRADOR DE LES CAVES,CCR00006,RESTAURANT MIRADOR DE LES CAVES,vendes,high
RESTAURANT MIRADOR,CCR00006,RESTAURANT MIRADOR DE LES CAVES,compres,medium
MASIA D'ESPLUGUES,CCR00003,RESTAURANT LA MASIA D'ESPLUGUES,vendes,high
RESTAURANT LA MASIA,CCR00003,RESTAURANT LA MASIA D'ESPLUGUES,compres,high
RT. TARRACO,CCR00005,RESTAURANT TARRACO,vendes,high
RESTAURANT TARRACO,CCR00005,RESTAURANT TARRACO,compres,high
RESTAURANT 25 ORIGENS,CCR00001,RESTAURANT ORIGENS,vendes,medium
RESTAURANT ORIGENS,CCR00001,RESTAURANT ORIGENS,compres,high
SOLIVER,CCR00010,RESTAURANT SOLIVER,vendes,high
RESTAURANT SOLIVER,CCR00010,RESTAURANT SOLIVER,master,high
GREEN VITA,CCR00011,RESTAURANT GREEN VITA,master,high
