dimension_2_code,dimension_2_name,dimension_1_code,center_type,status
CCC00007,CUINA CENTRAL,LN00000,central,active
CCC00008,SERVEIS EXTERNS,LN00000,central,active
CCR00001,RESTAURANT ORIGENS,LN00001,restaurant,active
CCR00002,RESTAURANT NAUTIC,LN00001,restaurant,active
CCR00003,RESTAURANT LA MASIA D'ESPLUGUES,LN00001,restaurant,active
CCR00004,RESTAURANT CAMP NOU,LN00001,restaurant,active
CCR00005,RESTAURANT TARRACO,LN00001,restaurant,active
CCR00006,RESTAURANT MIRADOR DE LES CAVES,LN00001,restaurant,active
CCR00007,RESTAURANT JUNO HOUSE,LN00001,restaurant,active
CCR00009,RESTAURANT VALKIRIA,LN00001,restaurant,active
CCR00010,RESTAURANT SOLIVER,LN00001,restaurant,active
CCE00004,EMPRESA EVENTS,LN00002,event_space,active
CCB00002,CASAMENTS MIRADOR,LN00003,wedding_space,active
CCB00005,CASAMENTS FDLC,LN00003,wedding_space,active
CCC00001,AMETLLER,LN00004,production,active
CCF00001,FIRES I FESTIVALS,LN00005,festival,active
CCF00005,FESTIVAL ALMA (POBLE NOU),LN00005,festival,active
CCR00011,RESTAURANT GREEN VITA,LN00006,restaurant,active
